TICKER,FIGI,DATE,TYPE,FREQUENCY,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME,ADJ_FACTOR,EX_DIVIDEND,SPLIT_RATIO
GOOGL,BBG000C3C6S2,20-03-2018,EOD,daily,184.49,185.23,181.44,183.08,15182162,19.00112706,19.13609194,18.96256566,19.13609194,14844,,0,1
GOOGL,BBG000C3C6S2,19-03-2018,EOD,daily,183.73,186.04,182.68,185.03,7026402,18.99148671,19.02040775,18.84688148,18.85652183,35633,,0,1
GOOGL,BBG000C3C6S2,16-03-2018,EOD,daily,186.04,189.12,185.77,188.79,8952532,19.25177612,19.25659629,19.21321472,19.21321472,18178,,0,1
GOOGL,BBG000C3C6S2,15-03-2018,EOD,daily,190.16,199.7,189.94,197.69,19345086,19.27105682,19.27105682,19.19393403,19.21321472,9257,,0,1
GOOGL,BBG000C3C6S2,14-03-2018,EOD,daily,194.79,196.95,192,194.41,14723626,19.39638135,19.41566204,19.33015215,19.33757522,13318,,0,1
GOOGL,BBG000C3C6S2,13-03-2018,EOD,daily,194.56,196.13,192.21,195.19,36514857,19.46386379,19.46386379,19.0686095,19.15537263,67220,,0,1
GOOGL,BBG000C3C6S2,12-03-2018,EOD,daily,194.96,196.43,194.16,195.04,8129930,19.38596977,19.50242518,19.35781995,19.49278483,18366,,0,1
GOOGL,BBG000C3C6S2,09-03-2018,EOD,daily,195.14,202.65,194.26,202.37,15725137,19.20357438,19.32889891,19.05896915,19.32889891,70826,,0,1
GOOGL,BBG000C3C6S2,08-03-2018,EOD,daily,204.31,207.49,201.61,204.2,13454976,18.99148671,19.14091211,18.99148671,19.11738966,30826,,0,1
GOOGL,BBG000C3C6S2,07-03-2018,EOD,daily,203.45,207.15,202.92,205.8,8599983,18.85652183,19.09753054,18.85652183,19.07824984,11796,,0,1
GOOGL,BBG000C3C6S2,06-03-2018,EOD,daily,206.41,206.63,202.21,203.28,7027980,18.93364462,18.93364462,18.63479381,18.77939904,101456,,0,1
GOOGL,BBG000C3C6S2,05-03-2018,EOD,daily,203.74,208.79,202.83,208.4,9325308,18.38414475,18.79193149,18.33497897,18.74083764,16708,,0,1
GOOGL,BBG000C3C6S2,02-03-2018,EOD,daily,208.42,209.76,203.31,205.03,11112419,18.64443416,18.64443416,17.38154849,18.55767102,44842,,0,1
GOOGL,BBG000C3C6S2,01-03-2018,EOD,daily,204.7,205.87,202.8,204.68,6021169,19.0107674,19.26141647,18.70005897,18.70005897,13056,,0,1
GOOGL,BBG000C3C6S2,28-02-2018,EOD,daily,204.52,205.08,200.45,201.28,6554861,19.15537263,19.22285507,19.02040775,19.02040775,20738,,0,1
GOOGL,BBG000C3C6S2,27-02-2018,EOD,daily,201.93,206.46,200.62,203.61,8261422,19.27105682,19.3674603,19.03968845,19.10717089,9029,,0,1
GOOGL,BBG000C3C6S2,26-02-2018,EOD,daily,204.17,205.12,200.95,202.32,8154780,19.43494274,19.43494274,19.35781995,19.43494274,12535,,0,1
GOOGL,BBG000C3C6S2,23-02-2018,EOD,daily,206.49,207.03,203.57,205.46,6786151,19.43494274,19.4725401,19.35781995,19.4060217,11260,,0,1
GOOGL,BBG000C3C6S2,22-02-2018,EOD,daily,205.71,208.21,204.3,207.71,12458412,19.31925856,19.43494274,19.31925856,19.43494274,14718,,0,1
GOOGL,BBG000C3C6S2,21-02-2018,EOD,daily,224.67,225.59,218.3,218.77,22559250,19.42530239,19.53144263,19.23249542,19.3674603,7587,,0,1
GOOGL,BBG000C3C6S2,20-02-2018,EOD,daily,219.92,222.57,218.48,220.47,8840100,19.45422344,19.49972588,19.28069716,19.32889891,48282,,0,1
GOOGL,BBG000C3C6S2,16-02-2018,EOD,daily,220.03,220.74,213.21,213.79,9569567,19.21321472,19.62389357,19.16983316,19.51206553,29353,,0,1
GOOGL,BBG000C3C6S2,15-02-2018,EOD,daily,214.08,215.24,211.98,213.2,7282287,18.89508322,19.02522793,18.81796043,19.02040775,33791,,0,1
GOOGL,BBG000C3C6S2,14-02-2018,EOD,daily,211.67,213.67,209.9,210.23,8359256,18.32630265,18.85073762,18.32630265,18.78903939,20745,,0,1
GOOGL,BBG000C3C6S2,13-02-2018,EOD,daily,209.52,213.08,208.36,209.18,7425666,18.58659207,18.58659207,18.37556484,18.42270614,15456,,0,1
GOOGL,BBG000C3C6S2,12-02-2018,EOD,daily,209.44,209.93,199.47,199.65,10367637,18.58659207,18.63479381,18.50946928,18.52874997,23264,,0,1
GOOGL,BBG000C3C6S2,09-02-2018,EOD,daily,200.74,201.45,194.39,197.6,13108333,18.42588746,18.7311973,17.94068871,18.32630265,48329,,0,1
GOOGL,BBG000C3C6S2,08-02-2018,EOD,daily,198.37,200.95,195.64,197.28,8075850,18.93364462,18.93364462,18.3745044,18.54803067,46007,,0,1
GOOGL,BBG000C3C6S2,07-02-2018,EOD,daily,197.71,199.63,196.3,197.57,4653255,19.18429368,19.18429368,18.70227625,18.79867974,30550,,0,1
GOOGL,BBG000C3C6S2,06-02-2018,EOD,daily,199,200.54,196.09,197.35,6069528,18.27810091,19.41566204,18.27810091,19.20357438,79333,,0,1
GOOGL,BBG000C3C6S2,05-02-2018,EOD,daily,197.75,198.76,195.22,197.59,5129461,19.11681124,19.28850585,18.42270614,18.61551311,80080,,0,1
